sale_date,sale_price,latitude,longitude,city,zoning,land_val,imp_val,year_built,sqft_lot,sqft,grade,fbsmt_grade,home_condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_otherwater,year,zipcode
2018-08-09,545000,47.56269121,-122.2813937,SEATTLE,SF 5000,39000,52000,1906,6000,1190,5,0,3,1.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98118
2018-10-08,1067000,47.63672209,-122.3514686,SEATTLE,SF 5000,103000,167000,1919,3240,1480,7,0,4,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98109
2018-10-02,588000,47.54563916,-122.3922036,SEATTLE,SF 5000,97000,51000,1926,6000,910,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98136
2018-10-17,310000,47.53848033,-122.3547381,SEATTLE,SF 7200,26000,80000,1941,8505,830,6,0,4,1.0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018,98106
2018-10-23,499900,47.56211923,-122.3156767,SEATTLE,SF 5000,64000,97000,1948,7423,1070,7,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98108
2018-10-23,975000,47.56810876,-122.2753949,SEATTLE,SF 7200,129000,67000,1947,6600,980,7,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98118
2018-11-16,485000,47.73214845,-122.2989283,SEATTLE,SF 7200,77000,64000,1939,5588,880,6,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98125
2018-11-27,785000,47.54928671,-122.3839838,SEATTLE,SF 5000,84000,117000,1917,6250,2110,7,7,4,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98136
2018-11-27,530000,47.7001549,-122.3039006,SEATTLE,SF 5000,34200,55000,1920,5800,1190,6,5,3,1.0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018,98115
2018-12-12,700000,47.67493017,-122.3268516,SEATTLE,SF 5000,80000,108000,1901,4590,1120,7,0,4,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98115
2018-12-18,700000,47.52630315,-122.3756493,SEATTLE,SF 7200,46000,103000,1950,7316,1500,6,0,3,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98126
2018-12-27,1529700,47.67779986,-122.3184823,SEATTLE,SF 5000,91000,126000,1924,3700,1140,7,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,98115
2018-12-20,820000,47.68569824,-122.3540825,SEATTLE,SF 5000,87000,111000,1919,4000,1210,7,4,4,1.0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2018,98103
2018-12-17,535000,47.6673504,-122.3191868,SEATTLE,SF 5000,94000,77000,1912,4180,1760,6,6,3,1.5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,98105
2019-01-30,430000,47.62496329,-122.3020762,SEATTLE,SF 5000,60000,84000,1902,3360,1080,6,0,3,1.0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019,98112
2019-02-04,765000,47.56336415,-122.2894859,SEATTLE,SF 5000,39000,90000,1903,6000,1310,5,0,4,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98118
2019-01-30,829000,47.6433806,-122.3524629,SEATTLE,SF 5000,104000,5000,1910,4000,700,6,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98109
2019-02-06,400000,47.53059123,-122.374893,SEATTLE,SF 7200,46000,69000,1918,7680,710,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98126
2019-02-08,370000,47.5352319,-122.3489663,SEATTLE,SF 5000,20000,44900,1940,3579,620,6,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-02-13,645000,47.7129688,-122.31018,SEATTLE,SF 7200,76000,51000,1941,7980,820,6,0,2,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98125
2019-02-19,1350000,47.67489543,-122.3100901,SEATTLE,SF 5000,161000,106000,1912,4080,1480,7,0,4,1.5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98115
2019-02-13,686000,47.59357868,-122.3025531,SEATTLE,SF 5000,26000,124000,1908,3893,1310,6,4,4,1.0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019,98144
2019-02-25,1410000,47.69667504,-122.3999778,SEATTLE,SF 7200,145000,305000,1956,7190,3560,9,7,3,2.0,3,2,1,0,0,660,0,0,0,0,0,0,0,2,0,2,0,0,2019,98117
2019-02-22,652500,47.52117136,-122.3470809,SEATTLE,SF 5000,40000,98000,1923,4780,1790,6,0,4,1.5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-02-22,695000,47.68932679,-122.3561222,SEATTLE,SF 5000,65000,94000,1905,3840,710,6,0,4,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98103
2019-03-01,3750000,47.62590046,-122.2890358,SEATTLE,SF 7200,200000,282000,1936,7200,2290,9,6,3,2.0,4,2,1,0,0,340,0,0,0,0,0,0,0,2,0,0,0,0,2019,98112
2019-03-12,1900000,47.69123806,-122.3260764,SEATTLE,SF 5000,102000,68000,1947,8798,940,7,0,3,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98115
2019-03-15,1400000,47.5191312,-122.2564608,SEATTLE,SF 5000,188000,243000,1994,950,4080,8,8,3,1.0,4,1,2,1,0,440,6,0,0,2,0,0,0,4,0,0,4,0,2019,98118
2019-03-13,405000,47.71523028,-122.2944139,SEATTLE,SF 5000,83000,89000,1920,6600,1620,7,0,3,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98125
2019-03-22,735000,47.72415141,-122.2958459,SEATTLE,SF 7200,79000,110000,1930,10800,1660,7,0,3,2.0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019,98125
2019-04-03,1585000,47.66746156,-122.3198554,SEATTLE,SF 5000,98000,95000,1921,4280,1580,6,4,3,1.5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98105
2019-03-21,563750,47.52550611,-122.3621959,SEATTLE,SF 7200,40000,63000,1941,7440,640,6,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-04-10,860000,47.66457798,-122.3654185,SEATTLE,SF 5000,71000,129000,1979,3340,1160,7,0,3,1.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98107
2019-04-12,305000,47.51951146,-122.3758372,SEATTLE,SF 5000,42000,93000,1951,4840,1040,7,0,3,1.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98126
